NOC;YEAR;F
MEX;2012;45
MEX;2016;56
MGL;2000;11
MGL;2002;1
MGL;2004;8
MGL;2006;1
MGL;2008;17
MGL;2010;1
MGL;2012;14
MGL;2014;1
MGL;2016;20
MHL;2008;2
MHL;2012;2
MHL;2016;3
MKD;2000;8
MKD;2004;6
MKD;2006;2
MKD;2008;2
MKD;2010;1
MKD;2012;2
MKD;2014;1
MKD;2016;4
MLI;2000;2
MLI;2004;2
MLI;2008;14
MLI;2012;2
MLI;2016;2
MLT;2000;3
MLT;2004;3
MLT;2008;3
MLT;2012;2
MLT;2014;2
MLT;2016;4
MNE;2008;2
MNE;2012;15
MNE;2014;1
MNE;2016;18
MON;2000;1
MON;2004;1
MON;2006;5
MON;2008;1
MON;2010;4
MON;2012;1
MON;2014;2
MOZ;2000;2
MOZ;2004;2
MOZ;2008;2
MOZ;2012;2
MOZ;2016;1
MRI;2000;6
MRI;2004;3
MRI;2008;5
MRI;2012;7
MRI;2016;6
MTN;2000;1
MTN;2004;1
MTN;2008;1
MTN;2012;1
MTN;2016;1
MYA;2000;6
MYA;2004;2
MYA;2008;2
MYA;2012;3
MYA;2016;3
NAM;2000;6
NAM;2004;1
NAM;2008;5
NAM;2012;4
NAM;2016;6
NCA;2000;2
NCA;2004;4
NCA;2008;3
NCA;2012;3
NCA;2016;2
NED;2000;109
NED;2002;22
NED;2004;105
NED;2006;30
NED;2008;123
NED;2010;35
NED;2012;105
NED;2014;41
NED;2016;176
NEP;2000;3
NEP;2004;3
NEP;2008;4
NEP;2012;3
NEP;2016;4
NGR;2000;49
NGR;2004;50
NGR;2008;47
NGR;2012;28
NGR;2016;28
NIG;2000;2
NIG;2004;1
NIG;2008;2
NIG;2012;2
NIG;2016;2
NOR;2000;54
NOR;2002;56
NOR;2004;18
NOR;2006;56
NOR;2008;59
NOR;2010;55
NOR;2012;32
NOR;2014;77
NOR;2016;37
NRU;2000;1
NRU;2004;1
NZL;2000;84
NZL;2002;3
NZL;2004;82
NZL;2006;8
NZL;2008;89
NZL;2010;9
NZL;2012;94
NZL;2014;8
NZL;2016;114
OMA;2008;1
OMA;2012;1
OMA;2016;2
PAK;2000;1
PAK;2004;2
PAK;2008;2
PAK;2012;2
PAK;2016;3
PAN;2000;3
PAN;2004;2
PAN;2008;2
PAN;2012;2
PAN;2016;9
PAR;2000;3
PAR;2004;2
PAR;2008;4
PAR;2012;4
PAR;2014;1
PAR;2016;5
PER;2000;13
PER;2004;5
PER;2008;6
PER;2010;2
PER;2012;7
PER;2014;2
PER;2016;15
PHI;2000;10
PHI;2004;5
PHI;2008;6
PHI;2012;4
PHI;2016;6
PLE;2000;1
PLE;2004;1
PLE;2008;2
PLE;2012;2
PLE;2016;2
PLW;2000;3
PLW;2004;2
PLW;2008;2
PLW;2012;3
PLW;2016;3
PNG;2000;3
PNG;2004;2
PNG;2008;4
PNG;2012;4
PNG;2016;2
POL;2000;79
POL;2002;8
POL;2004;72
POL;2006;34
POL;2008;135
POL;2010;61
POL;2012;111
POL;2014;73
POL;2016;125
POR;2000;13
POR;2004;18
POR;2008;29
POR;2012;42
POR;2014;2
POR;2016;34
PRK;2000;26
PRK;2004;51
PRK;2006;5
PRK;2008;44
PRK;2010;2
PRK;2012;40
PRK;2016;25
PUR;2000;7
PUR;2004;13
PUR;2008;7
PUR;2012;9
PUR;2016;28
QAT;2012;5
QAT;2016;2
ROT;2016;5
ROU;2000;128
ROU;2002;21
ROU;2004;98
ROU;2006;26
ROU;2008;88
ROU;2010;28
ROU;2012;73
ROU;2014;15
ROU;2016;75
RSA;2000;49
RSA;2004;49
RSA;2008;80
RSA;2012;61
RSA;2016;46
RUS;2000;269
RUS;2002;102
RUS;2004;265
RUS;2006;111
RUS;2008;285
RUS;2010;126
RUS;2012;283
RUS;2014;152
RUS;2016;203
RWA;2000;2
RWA;2004;2
RWA;2008;2
RWA;2012;2
RWA;2016;3
SAM;2000;1
SAM;2004;1
SAM;2008;2
SAM;2012;3
SAM;2016;4
SCG;2000;26
SCG;2002;2
SCG;2004;9
SCG;2006;6
SEN;2000;23
SEN;2004;13
SEN;2008;7
SEN;2012;7
SEN;2016;16
SEY;2000;3
SEY;2004;2
SEY;2008;3
SEY;2012;2
SEY;2016;2
SGP;2000;13
