NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
IRL;2012;Summer;Boxing;4;9
CHN;2008;Summer;Judo;4;11
USA;2000;Summer;Tennis;4;9
CHN;2010;Winter;Figure Skating;4;11
ITA;2000;Summer;Judo;4;13
ITA;2000;Summer;Cycling;4;13
CHN;2012;Summer;Archery;4;11
ITA;2000;Summer;Canoeing;4;13
USA;2002;Winter;Luge;4;9
SGP;2012;Summer;Table Tennis;4;26
SLO;2002;Winter;Ski Jumping;4;9
CAN;2004;Summer;Rowing;4;-5
ZIM;2008;Summer;Swimming;4;21
ROU;2000;Summer;Swimming;4;9
SUI;2000;Summer;Fencing;4;15
CHN;2010;Winter;Curling;4;11
PRK;2012;Summer;Weightlifting;4;6
GEO;2008;Summer;Wrestling;4;6
CHN;2008;Summer;Beach Volleyball;4;11
CAN;2012;Summer;Diving;4;-5
GER;2012;Summer;Judo;4;9
CHN;2006;Winter;Figure Skating;4;11
NED;2004;Summer;Cycling;4;9
ARG;2000;Summer;Sailing;4;15
TPE;2016;Summer;Archery;3;10
BLR;2008;Summer;Rowing;3;6
AUS;2000;Summer;Athletics;3;22
BLR;2008;Summer;Weightlifting;3;6
GER;2014;Winter;Alpine Skiing;3;9
THA;2004;Summer;Boxing;3;26
USA;2016;Summer;Boxing;3;9
GRE;2008;Summer;Sailing;3;15
TPE;2004;Summer;Taekwondo;3;10
UZB;2016;Summer;Wrestling;3;12
GER;2016;Summer;Cycling;3;9
UZB;2004;Summer;Wrestling;3;12
JPN;2012;Summer;Table Tennis;3;11
GER;2016;Summer;Athletics;3;9
BLR;2004;Summer;Rowing;3;6
UZB;2000;Summer;Boxing;3;12
USA;2016;Summer;Wrestling;3;9
BEL;2000;Summer;Cycling;3;10
GER;2012;Summer;Gymnastics;3;9
ZIM;2004;Summer;Swimming;3;21
GER;2010;Winter;Alpine Skiing;3;9
GER;2008;Summer;Table Tennis;3;9
JPN;2016;Summer;Badminton;3;11
BLR;2004;Summer;Weightlifting;3;6
GRE;2004;Summer;Sailing;3;15
ARM;2008;Summer;Weightlifting;3;7
GER;2008;Summer;Swimming;3;9
USA;2016;Summer;Shooting;3;9
JPN;2014;Winter;Snowboarding;3;11
GEO;2016;Summer;Wrestling;3;6
GER;2000;Summer;Diving;3;9
ITA;2006;Winter;Luge;3;13
GBR;2016;Summer;Taekwondo;3;12
IRI;2004;Summer;Wrestling;3;17
GBR;2016;Summer;Triathlon;3;12
AUS;2016;Summer;Canoeing;3;22
USA;2002;Winter;Freestyle Skiing;3;9
AUS;2016;Summer;Archery;3;22
GER;2000;Summer;Archery;3;9
ITA;2008;Summer;Archery;3;13
UKR;2004;Summer;Swimming;3;8
ITA;2008;Summer;Boxing;3;13
USA;2002;Winter;Short Track Speed Skating;3;9
ITA;2016;Summer;Diving;3;13
GEO;2000;Summer;Wrestling;3;6
ITA;2004;Summer;Canoeing;3;13
GBR;2012;Summer;Tennis;3;12
GBR;2012;Summer;Swimming;3;12
UKR;2016;Summer;Canoeing;3;8
ITA;2002;Winter;Alpine Skiing;3;13
AUS;2012;Summer;Athletics;3;22
USA;2002;Winter;Figure Skating;3;9
UKR;2012;Summer;Canoeing;3;8
USA;2002;Winter;Skeleton;3;9
AUS;2008;Summer;Diving;3;22
SWE;2016;Summer;Swimming;3;19
UKR;2008;Summer;Shooting;3;8
IRL;2008;Summer;Boxing;3;9
USA;2000;Summer;Shooting;3;9
ITA;2004;Summer;Shooting;3;13
ITA;2004;Summer;Athletics;3;13
USA;2010;Winter;Figure Skating;3;9
ITA;2008;Summer;Canoeing;3;13
HUN;2008;Summer;Swimming;3;11
AUS;2000;Summer;Shooting;3;22
USA;2008;Summer;Taekwondo;3;9
GBR;2016;Summer;Boxing;3;12
USA;2006;Winter;Figure Skating;3;9
AUT;2010;Winter;Luge;3;6
HUN;2012;Summer;Swimming;3;11
USA;2012;Summer;Archery;3;9
TUR;2004;Summer;Wrestling;3;11
GER;2004;Summer;Shooting;3;9
JPN;2004;Summer;Cycling;3;11
AZE;2016;Summer;Taekwondo;3;12
FRA;2016;Summer;Cycling;3;11
USA;2008;Summer;Wrestling;3;9
UKR;2004;Summer;Archery;3;8
AUT;2000;Summer;Sailing;3;6
AUS;2004;Summer;Canoeing;3;22
USA;2004;Summer;Shooting;3;9
ITA;2008;Summer;Shooting;3;13
UKR;2004;Summer;Athletics;3;8
UKR;2000;Summer;Archery;3;8
GBR;2008;Summer;Boxing;3;12
AUS;2000;Summer;Canoeing;3;22
ITA;2012;Summer;Archery;3;13
INA;2000;Summer;Weightlifting;3;26
ITA;2012;Summer;Boxing;3;13
AUT;2004;Summer;Sailing;3;6
GBR;2004;Summer;Canoeing;3;12
HUN;2012;Summer;Wrestling;3;11
GBR;2008;Summer;Canoeing;3;12
CAN;2012;Summer;Cycling;3;-5
DEN;2000;Summer;Sailing;3;8
CAN;2004;Summer;Diving;3;-5
CAN;2006;Winter;Cross Country Skiing;3;-5
CAN;2006;Winter;Skeleton;3;-5
NED;2012;Summer;Cycling;3;9
CAN;2010;Winter;Figure Skating;3;-5
CAN;2010;Winter;Freestyle Skiing;3;-5
SUI;2014;Winter;Snowboarding;3;15
CAN;2012;Summer;Canoeing;3;-5
BLR;2012;Summer;Tennis;3;6
CZE;2010;Winter;Speed Skating;3;4
CAN;2012;Summer;Swimming;3;-5
CZE;2008;Summer;Shooting;3;4
SGP;2008;Summer;Table Tennis;3;26
CZE;2006;Winter;Cross Country Skiing;3;4
NOR;2000;Summer;Sailing;3;2
CZE;2004;Summer;Athletics;3;4
CZE;2000;Summer;Canoeing;3;4
CAN;2010;Winter;Snowboarding;3;-5
CAN;2000;Summer;Diving;3;-5
BUL;2000;Summer;Weightlifting;3;11
SUI;2014;Winter;Alpine Skiing;3;15
EST;2006;Winter;Cross Country Skiing;3;5
EST;2002;Winter;Cross Country Skiing;3;5
ESP;2012;Summer;Taekwondo;3;13
MAR;2004;Summer;Athletics;3;17
ESP;2012;Summer;Canoeing;3;13
SUI;2010;Winter;Alpine Skiing;3;15
SWE;2004;Summer;Athletics;3;19
ESP;2004;Summer;Athletics;3;13
CAN;2004;Summer;Canoeing;3;-5
EGY;2004;Summer;Boxing;3;22
DEN;2016;Summer;Sailing;3;8
SUI;2006;Winter;Alpine Skiing;3;15
DEN;2016;Summer;Badminton;3;8
DEN;2012;Summer;Sailing;3;8
SUI;2004;Summer;Cycling;3;15
DEN;2008;Summer;Equestrianism;3;8
CUB;2012;Summer;Judo;3;25
ESP;2008;Summer;Tennis;3;13
RUS;2000;Summer;Judo;3;-5
NOR;2004;Summer;Canoeing;3;2
CHN;2016;Summer;Trampolining;3;11
POL;2010;Winter;Cross Country Skiing;3;8
POL;2010;Winter;Speed Skating;3;8
CHN;2016;Summer;Rowing;3;11
RUS;2000;Summer;Weightlifting;3;-5
CHN;2004;Summer;Gymnastics;3;11
ITA;2000;Summer;Archery;3;13
COL;2012;Summer;Cycling;3;25
